donutstrack,sampleyear,samplegenre
1,1982,soul/funk/disco
1,2003,hip-hop/rap/r&b
2,1974,rock/pop
2,1963,electronic/dance
2,1982,hip-hop/rap/r&b
2,1974,soul/funk/disco
2,1988,hip-hop/rap/r&b
2,1986,hip-hop/rap/r&b
2,1986,hip-hop/rap/r&b
2,2003,hip-hop/rap/r&b
3,1973,rock/pop
3,1988,hip-hop/rap/r&b
3,2004,hip-hop/rap/r&b
4,1968,soul/funk/disco
4,1974,soul/funk/disco
5,1973,soul/funk/disco
5,1986,hip-hop/rap/r&b
6,1973,soul/funk/disco
6,2004,hip-hop/rap/r&b
6,2003,hip-hop/rap/r&b
7,1972,soul/funk/disco
7,1973,other
7,1985,hip-hop/rap/r&b
7,1988,hip-hop/rap/r&b
8,1974,soul/funk/disco
8,1973,soul/funk/disco
8,1988,hip-hop/rap/r&b
8,2003,hip-hop/rap/r&b
9,1971,other
9,1981,rock/pop
9,1969,soul/funk/disco
10,1975,soul/funk/disco
10,1974,soul/funk/disco
10,1974,soul/funk/disco
11,1970,soul/funk/disco
11,1969,soul/funk/disco
11,1971,soul/funk/disco
11,1973,soul/funk/disco
12,1981,soul/funk/disco
12,1963,electronic/dance
13,1959,electronic/dance
13,1988,hip-hop/rap/r&b
13,1963,electronic/dance
13,2003,hip-hop/rap/r&b
14,1972,rock/pop
15,1969,soul/funk/disco
15,1981,rock/pop
15,1969,soul/funk/disco
15,1986,hip-hop/rap/r&b
15,1982,hip-hop/rap/r&b
15,1998,hip-hop/rap/r&b
16,1969,soul/funk/disco
16,1979,soul/funk/disco
16,1985,hip-hop/rap/r&b
17,1972,soul/funk/disco
18,1974,soul/funk/disco
18,1969,soul/funk/disco
19,1970,rock/pop
19,1986,hip-hop/rap/r&b
19,1973,other
20,1981,soul/funk/disco
20,2002,soul/funk/disco
21,1974,soul/funk/disco
21,1969,soul/funk/disco
21,1969,soul/funk/disco
21,1988,hip-hop/rap/r&b
21,1969,soul/funk/disco
21,1969,soul/funk/disco
22,1972,soul/funk/disco
22,1988,hip-hop/rap/r&b
23,1972,soul/funk/disco
23,1988,hip-hop/rap/r&b
24,1972,soul/funk/disco
24,2003,hip-hop/rap/r&b
24,2004,hip-hop/rap/r&b
24,2004,hip-hop/rap/r&b
25,1973,soul/funk/disco
25,2003,hip-hop/rap/r&b
26,1970,electronic/dance
26,1979,electronic/dance
26,1988,hip-hop/rap/r&b
27,1968,soul/funk/disco
27,2004,hip-hop/rap/r&b
27,2004,hip-hop/rap/r&b
28,1970,soul/funk/disco
29,1980,soul/funk/disco
30,1971,soul/funk/disco
30,1965,soul/funk/disco
31,1970,soul/funk/disco
31,1982,soul/funk/disco
31,2003,hip-hop/rap/r&b
